"ID #","Opended by","Cust.Email","Subject","Status","Assign to","Date"
"1001","Alexander","alexander@gmail.com","Sed cursus dapibus diam","Complete","Pierce Sr.","03-10-2017"
"1010","John Deo","johndeo@gmail.com","Sed cursus dapibus diam","Complete","Alexander","02-10-2017"
"1015","Alexa Rose","alexarose@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","01-10-2017"
"1120","Sr. Alex Dc","sralex@gmail.com","Sed cursus dapibus diam","Complete","Alex Sr.deo","29-09-2017"
"1125","John Cena","johncena@gmail.com","Sed cursus dapibus diam","New","John Deo","28-09-2017"
"1128","Randy Orton","randyorton@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","27-09-2017"
"1130","Dev. Batista","batistadev@gmail.com","Sed cursus dapibus diam","Complete","Alexander","25-09-2017"
"1132","Michael Rose","michaelrose@gmail.com","Sed cursus dapibus diam","Complete","John Cena","24-09-2017"
"1135","Tamina Bexa","tamina@gmail.com","Sed cursus dapibus diam","New","John Cena","22-09-2017"
"1138","McRosy Sr.","mcrosy@gmail.com","Sed cursus dapibus diam","Pending","Tamina Bexa","20-09-2017"
"1140","Alexander","alexander@gmail.com","Sed cursus dapibus diam","Complete","Pierce Sr.","03-10-2017"
"1142","John Deo","johndeo@gmail.com","Sed cursus dapibus diam","Pending","Alexander","02-10-2017"
"1145","Alexa Rose","alexarose@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","01-10-2017"
"1146","Sr. Alex Dc","sralex@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","29-09-2017"
"1148","John Cena","johncena@gmail.com","Sed cursus dapibus diam","Complete","John Deo","28-09-2017"
"1150","Randy Orton","randyorton@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","27-09-2017"
"1152","Michael Rose","michaelrose@gmail.com","Sed cursus dapibus diam","Complete","Alexander","25-09-2017"
"1154","Dev. Batista","batistadev@gmail.com","Sed cursus dapibus diam","Complete","John Cena","24-09-2017"
"1155","Tamina Bexa","tamina@gmail.com","Sed cursus dapibus diam","New","John Cena","22-09-2017"
"1157","Alexander","alexander@gmail.com","Sed cursus dapibus diam","Pending","Tamina Bexa","20-09-2017"
"1160","McRosy Sr.","mcrosy@gmail.com","Sed cursus dapibus diam","Complete","Pierce Sr.","03-10-2017"
"1162","John Deo","johndeo@gmail.com","Sed cursus dapibus diam","Complete","Alexander","02-10-2017"
"1165","Alexa Rose","alexarose@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","01-10-2017"
"1167","John Cena","johncena@gmail.com","Sed cursus dapibus diam","Complete","Alex Sr.deo","29-09-2017"
"1168","Sr. Alex Dc","sralex@gmail.com","Sed cursus dapibus diam","New","John Deo","28-09-2017"
"1170","Randy Orton","randyorton@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","27-09-2017"
"1172","Dev. Batista","batistadev@gmail.com","Sed cursus dapibus diam","Complete","Alexander","25-09-2017"
"1173","Michael Rose","michaelrose@gmail.com","Sed cursus dapibus diam","Complete","John Cena","24-09-2017"
"1176","McRosy Sr.","mcrosy@gmail.com","Sed cursus dapibus diam","New","John Cena","22-09-2017"
"1178","Tamina Bexa","tamina@gmail.com","Sed cursus dapibus diam","Pending","Tamina Bexa","20-09-2017"
"1179","John Deo","johndeo@gmail.com","Sed cursus dapibus diam","Complete","Pierce Sr.","03-10-2017"
"1181","Alexander","alexander@gmail.com","Sed cursus dapibus diam","Pending","Alexander","02-10-2017"
"1182","Sr. Alex Dc","sralex@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","01-10-2017"
"1184","Alexa Rose","alexarose@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","29-09-2017"
"1186","Randy Orton","randyorton@gmail.com","Sed cursus dapibus diam","Complete","John Deo","28-09-2017"
"1188","John Cena","johncena@gmail.com","Sed cursus dapibus diam","New","Alex Sr.deo","27-09-2017"
"1190","Michael Rose","michaelrose@gmail.com","Sed cursus dapibus diam","Complete","Alexander","25-09-2017"
"1192","Dev. Batista","batistadev@gmail.com","Sed cursus dapibus diam","Complete","John Cena","24-09-2017"
"1194","McRosy Sr.","mcrosy@gmail.com","Sed cursus dapibus diam","New","John Cena","22-09-2017"
"1195","Tamina Bexa","tamina@gmail.com","Sed cursus dapibus diam","Pending","Tamina Bexa","20-09-2017"
"ID #","Opended by","Cust.Email","Subject","Status","Assign to","Date"
